index,education_many,education_few,shopping_many,shopping_few,leisure_many,leisure_few,accompany
53620024,79,0,174,1,155,7,108
53620028,69,1,94,7,98,14,83
53620032,129,0,161,5,123,8,140
53620036,76,0,118,1,93,6,97
53620040,127,0,130,7,100,10,115
53660004,33,2,71,2,142,3,51
53660008,31,0,33,0,162,2,17
53660012,28,0,14,0,120,2,8
53660016,489,2,373,6,395,22,203
53660020,16,0,18,1,103,3,12
53660024,24,0,37,0,95,1,19
53660028,91,0,104,19,192,7,129
53660032,22,0,26,3,85,2,16
53660036,55,0,41,2,111,8,47
53660040,46,0,50,1,61,0,30
53660044,85,0,69,4,468,9,81
53700004,79,2,140,10,81,16,125
53700008,33,0,34,1,68,7,34
53700012,37,1,74,9,54,11,88
53700016,77,0,170,6,59,11,136
53700020,53,0,99,2,48,10,104
53700024,24,0,27,0,29,0,32
53700028,37,0,70,2,76,5,64
53700032,10,0,26,0,22,3,11
53700036,28,0,36,0,37,6,40
53700040,71,1,83,1,74,8,73
53740004,22,1,74,1,38,6,28
53740008,18,0,47,1,53,4,40
53740012,43,3,134,5,83,8,74
53740016,14,1,50,1,38,2,24
53740020,26,1,64,0,60,3,45
53740024,8,0,30,0,38,0,15
53740028,10,0,15,0,19,0,13
53740032,20,0,17,1,38,2,22
53740036,19,1,39,3,29,2,24
53740040,20,0,42,1,53,1,30
53740044,22,0,49,4,36,3,31
53740048,30,0,76,1,60,6,45
53740052,49,0,76,4,60,3,60
53780004,133,12,251,13,296,15,183
53780008,16,1,44,0,28,1,24
53780012,21,0,31,0,82,3,20
53780016,25,0,81,2,60,2,39
53780020,17,0,19,0,78,5,21
53780024,36,0,97,3,119,2,44
53780028,34,0,72,0,188,2,48
53780032,64,1,98,2,95,8,66
53820004,45,19,67,0,95,6,43
53820008,41,6,123,7,80,6,62
53820012,83,2,147,2,123,4,84
53820016,20,0,43,3,42,2,30
53820020,125,2,162,5,179,8,145
53820024,74,2,164,1,234,13,108
53820028,31,0,55,1,252,2,39
53820032,54,2,105,4,102,1,77
53820036,18,0,37,0,38,2,22
53820040,40,1,50,0,63,3,31
53820044,62,0,85,0,61,0,50
53820048,106,4,191,2,122,7,93
53820052,9,0,20,1,17,3,9
