index,buy/execute_no_car,buy/execute_car,leisure_no_car,leisure_car,accompany_no_car,accompany_car
DE917_6,115469.06731010805,2215132.727409974,138759.86723353816,1846306.3741321112,21942.344509635623,560678.7912822324
DE917_7,76042.10253864033,2078886.5812876616,89999.2701064031,1738029.3715920947,16605.46839584815,583488.2352206678
DE918_0,105083.12430921191,2937368.5721798497,129624.30342987344,2502386.2236678917,22868.810733380877,857195.6028091095
DE918_1,131782.23499881435,2689685.7006301247,162770.8088628428,2298059.982313757,26289.194211674938,694652.5152576793
DE918_2,312009.5823094899,6201584.1615479225,418197.34952256054,5614197.823186259,61116.815696123165,1760212.4298815602
DE918_3,180818.25145708324,5077255.700435955,233374.45950117914,4596301.187551864,39686.60037098933,1571462.5705659615
DE918_4,89140.84614606648,2503050.0105741806,108924.23854967022,2109103.0053684637,19779.039873831418,716636.1744855022
DE918_5,59615.46183309027,1669625.4259037776,69399.91501600012,1365147.324652074,13498.126132857664,457620.7773731303
DE918_6,44075.21390394617,1250448.0815746002,50347.09027042769,993433.2577159884,10422.415764784966,334451.5174155808
DE91A_0,267322.53273011924,5172443.909177684,347447.97616385267,4675985.046939044,50174.38052489575,1432980.1003764856
DE91A_1,589075.4107790029,11448171.988382751,817195.7133020184,11202600.916840931,114818.03178149262,3472698.3124264865
DE91A_2,65638.92461835456,1807662.7931117516,76612.15603499065,1496296.4468276447,14597.579849740252,500039.1912611848
DE91A_3,58249.16303239229,1626134.2317039652,67335.78860289797,1331739.496708485,13203.53164912319,446035.42204467696
DE91A_4,78435.57751537215,2149233.3136047637,92562.69349437457,1815343.3091455474,17125.26833315745,603865.2708724183
DE91B_0,113674.04646846431,3029451.6829306544,139061.75242530706,2629181.016732961,23829.183103204312,882298.7089063482
DE91B_1,143247.85581256772,3901995.6135109463,179657.89064601672,3456173.8201162242,30411.019907579746,1172814.1224544307
DE91B_2,63487.78689849376,1793438.1686175917,74298.0956237027,1501694.4265977028,14536.512793561296,495452.32204086083
DE91B_3,95324.0773379457,2605559.2592379623,115288.27010434397,2237068.7626815587,20616.44354845019,748005.7421747533
DE91B_4,0.0,0.0,0.0,0.0,0.0,0.0
DE91B_5,439112.9713385122,8379996.246298988,595278.9948108691,7857618.833589138,82609.0109737591,2456978.0455314126
DE91C_0,320462.1942200957,6514112.604694595,432550.34306891606,5882115.953844141,64115.8893527134,1860138.7322557997
DE91C_1,306685.0441379742,6055107.507236785,407079.0622105912,5509598.1583885895,59050.71073205902,1705777.3600983738
DE91C_2,197312.2540345928,3870684.260103975,252281.692692571,3378978.534853442,37571.81478917965,1036269.4102356657
DE91C_3,97384.57323528636,2759784.0469309953,119994.13821073792,2332342.8297481025,21572.727832268265,803511.9148598382
DE91C_4,211421.0324300417,4274855.102328651,275568.0835450643,3716687.8570495313,41665.93567438424,1167298.9780396055
DE91C_5,102526.53380938864,2016952.5906732883,123991.11111877643,1661215.1996199647,20162.51264411419,501965.14643884625
DE91C_6,282289.08089749736,5659476.28271299,373326.44211469684,5052743.630907464,54542.28350168705,1591738.3518244918
DE91C_7,47873.2745444951,1381961.331285703,56108.84836711332,1095247.9446829793,11342.482214921152,375272.31975957716
DE91C_8,3499635.5855967253,17937689.20347355,4996539.987724274,17282927.824148193,624828.098852796,4914336.9800772965
DE922_0,761138.4297928285,13489117.047599064,1043785.1788863332,13507986.550775506,132847.12566325592,4163872.450316388
DE922_1,140629.95596248808,3594329.123650497,170346.3700385541,3200449.8552830247,27862.37327385895,1059887.2024977615
DE922_2,117665.75049463332,3083902.1984780454,140076.8349454123,2750250.217954464,24127.293341593995,896838.9879258655
DE922_3,210117.0733258202,3675948.856032157,255908.01715954862,3263894.7241918547,35571.0873709587,977092.7889879396
DE922_4,225651.8624111641,4211694.836018044,281324.50758474134,3804002.6798691237,40378.72097881549,1141771.472235365
DE922_5,180767.5328577087,3304366.343517338,220031.8994654148,2911935.6414070874,32131.6722860192,866862.9816370449
DE922_6,116463.72301026723,2046488.5969179848,134846.06714654,1727985.4604562162,21053.330727967816,509815.5886315853
DE922_7,47189.409513764076,1253526.2269957254,51887.670686489735,1024025.6926803346,10794.111776845735,332536.1554843525
DE923_0,100619.41756255428,2742675.639369673,121288.73268979898,2367835.5232873964,21482.624315136112,789875.3742437218
DE923_1,256097.60561273483,4884033.088875739,328434.04736167076,4396109.928829461,46743.63355230659,1340143.4211159514
DE923_2,557206.7796550578,10612719.721220775,759586.9352352546,10360548.565986179,103728.92251975005,3184867.591153697
DE923_3,112497.59793224387,3044268.408857088,136353.18049423906,2674647.591017353,23838.791103250776,885571.7519850357
DE923_4,109358.35661505241,2925670.537205779,132228.82289811864,2537215.2746119923,22857.18318464522,848632.1851855066
DE925_0,345852.6962244182,6709499.401471189,459583.4207789446,6195540.448291464,65235.26397542967,1915630.0984481554
DE925_1,964705.9921382441,18740431.55645212,1403336.6338519603,19149323.336334575,200000.59082419533,6030019.4954250995
DE925_2,96689.92373445471,2671433.933714196,117322.30320668951,2304186.8109173966,21137.80985321828,768445.5987717541
DE925_3,207750.2849161638,4050317.06254148,264294.108368349,3556809.625128382,38923.736090403705,1094365.617181265
DE925_4,234238.4249777625,4509923.810046026,299596.6004828861,3993760.1816266375,43077.1470478898,1231865.6082332497
DE925_5,167291.70444252843,3267796.6872973084,209448.12624151292,2829697.3080037986,31829.293080814383,861131.527539545
DE925_6,143117.736463819,2849290.0985330767,177153.9030294562,2452008.5495753596,27931.141059025173,739423.4578839628
DE925_7,63350.92020616503,1798565.363432619,74019.04497200373,1495037.195450118,14447.26087048203,497041.55873108224
DE926_0,134571.92033437986,2638425.494628511,165016.38934135452,2232826.862229194,25744.85895827166,676376.7317257976
DE926_1,127049.70879564525,3488766.7238895837,157480.48123564685,3040567.07345229,26968.746846593418,1030055.1814572996
